LOINC_NUM;COMPONENT;PROPERTY;TIME_ASPCT;SYSTEM;SCALE_TYP;METHOD_TYP;CLASS;VersionLastChanged;STATUS;CLASSTYPE;ORDER_OBS;EXTERNAL_COPYRIGHT_NOTICE;EXAMPLE_UNITS;LONG_COMMON_NAME;EXAMPLE_UCUM_UNITS;VersionFirstReleased;LHCForms;FormalName
x0010-2;Total score - Aumerksamkeit;Score;Pt;^Patient;Qn;BIS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Aumerksamkeit];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:BIS
x0010-1;Total score - Planung;Score;Pt;^Patient;Qn;BIS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Planung];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:BIS
x0010-0;Total score - Impulsivität;Score;Pt;^Patient;Qn;BIS-11;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Impulsivität];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:BIS-11
xxxxx-x;Health/Function questions from CDC Behavioural Risk Factor Surveillance System Survey;Score;Pt;^Patient;Qn;BRFSS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;;{score};0;FALSCH;
x0011-0;Mean score - Somatization;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Somatization];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-1;Mean score - Obsession-compulsion;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Obsession-compulsion];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-2;Mean score - Interpersonal sensitivity;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Interpersonal sensitivity];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-3;Mean score - Depression;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Depression];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-4;Mean score - Anxiety;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Anxiety];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-5;Mean score - Hostility;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Hostility];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-6;Mean score - Phobic anxiety;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Phobic anxiety];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-7;Mean score - Paranoid ideation;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Paranoid ideation];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0011-8;Mean score - Psychoticism;Score;Pt;^Patient;Qn;BSI-53;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Psychoticism];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BSI-53
x0012-0;Mean score - Risky Behaviour;Score;Pt;^Patient;Qn;BULLY;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Risky Behaviour];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:BULLY
x0013-0;Mean score - Aufmerksamkeit;Score;Pt;^Patient;Qn;CANTAB;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Aufmerksamkeit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CANTAB
x0013-1;Mean score - Decision-making;Score;Pt;^Patient;Qn;CANTAB;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Decision-making];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CANTAB
x0013-2;Mean score - Executive Funktionen;Score;Pt;^Patient;Qn;CANTAB;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Executive Funktionen];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CANTAB
x0013-3;Mean score - Gedächtnis;Score;Pt;^Patient;Qn;CANTAB;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Gedächtnis];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CANTAB
x0013-4;Total score - Aufmerksamkeit (GO-NoGo);Score;Pt;^Patient;Qn;CANTAB;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Aufmerksamkeit (GO-NoGo)];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CANTAB
x0014-0;Total score - Rauchen;Score;Pt;^Patient;Qn;Cave;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Rauchen];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:Cave
x0014-1;Total score - Alkohol;Score;Pt;^Patient;Qn;Cave;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Alkohol];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:Cave
x0015-0;Standard score - Schizophrenie;Score;Pt;^Patient;Qn;CAPE;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Standard score [Schizophrenie];{score};0;FALSCH;Standard score:Score:Pt:^Patient:Qn:CAPE
x0016-0;Mean score - Aggresivität;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Aggresivität];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-7;Total score - Aggresivität;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Aggresivität];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-1;Mean score - Angst/Depression;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Angst/Depression];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-6;Total score - Angst/Depression;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Angst/Depression];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-2;Mean score - Aufmerksamkeit;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Aufmerksamkeit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-5;Total score - Aufmerksamkeit;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Aufmerksamkeit];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-3;Mean score - Emotionen;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Emotionen];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-4;Total score - Emotionen;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Emotionen];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-4;Mean score - Externalisierende Probleme;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Externalisierende Probleme];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-3;Total score - Externalisierende Probleme;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Externalisierende Probleme];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-5;Mean score - Internalizierende Probleme;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Internalizierende Probleme];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-2;Total score - Internalizierende Probleme;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Internalizierende Probleme];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-6;Mean score - Somatische Störung;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Somatische Störung];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-1;Total score - Somatische Störung;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Somatische Störung];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-7;Mean score - Schlafstörung;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Schlafstörung];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0131-0;Total score - Schlafstörung;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Schlafstörung];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0016-8;Mean score - Withdrawn;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Withdrawn];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBCL
x0016-9;Total score - Withdrawn;Score;Pt;^Patient;Qn;CBCL;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Withdrawn];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CBCL
x0017-0;Mean score - Aktivitätsniveau;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Aktivitätsniveau];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-1;Mean score - Ärger;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Ärger];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-2;Mean score - Annäherung;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Annäherung];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-3;Mean score - Aufmerksamkeits-Fokussierung;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Aufmerksamkeits-Fokussierung];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-4;Mean score - Angst;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Angst];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-5;Mean score - Vergnügen bei hoher Intensität;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Vergnügen bei hoher Intensität];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-6;Mean score - Impulsivität;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Impulsivität];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-7;Mean score - Inhibitorische Kontrolle;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Inhibitorische Kontrolle];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-8;Mean score - Vergnügen bei niedriger Intensität;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Vergnügen bei niedriger Intensität];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0017-9;Mean score - Perzeptuelle Sensibilität;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Perzeptuelle Sensibilität];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0018-0;Mean score - Traurigkeit;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Traurigkeit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0018-1;Mean score - Schüchternheit;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Schüchternheit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0018-2;Mean score -Lächeln;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score -Lächeln];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0018-3;Mean score - Unbehagen;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Unbehagen];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0018-4;Mean score - Beruhigbarkeit;Score;Pt;^Patient;Qn;CBQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Beruhigbarkeit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CBQ
x0019-0;Total score - Cigarette Dependence;Score;Pt;^Patient;Qn;CDS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Cigarette Dependence];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CDS
x0020-0;Standard-score Intelligenz;Score;Pt;^Patient;Qn;CFT;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Standard-score Intelligenz];{score};0;FALSCH;Standard:Score:Pt:^Patient:Qn:CFT
x0021-0;Total score - Angst;Score;Pt;^Patient;Qn;CIDI-DIAX;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Angst];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CIDI-DIAX
x0022-0;Standard score - Gesundheitszustand;Score;Pt;^Patient;Qn;CID-S;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Standard score [Gesundheitszustand];{score};0;FALSCH;Standard score:Score:Pt:^Patient:Qn:CID-S
x0023-0;Standard score - Psychische Störungen;Score;Pt;^Patient;Qn;CMM;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Standard score [Psychische Störungen];{score};0;FALSCH;Standard score:Score:Pt:^Patient:Qn:CMM
x0024-0;Total score - COPE;Score;Pt;^Patient;Qn;COPE;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [COPE];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:COPE
x0024-1;Total score - aktives Coping;Score;Pt;^Patient;Qn;COPE;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [aktives Coping];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:COPE
x0024-2;Total score - soziales Coping;Score;Pt;^Patient;Qn;COPE;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [soziales Coping];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:COPE
x0024-3;Total score - emotionales Coping;Score;Pt;^Patient;Qn;COPE;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [emotionales Coping];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:COPE
x0025-0;Total score - Somatische Störung;Score;Pt;^Patient;Qn;CSI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Somatische Störung];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CSI
x0025-1;Standard score - Somatische Störung;Score;Pt;^Patient;Qn;CSI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Standard score [Somatische Störung];{score};0;FALSCH;Standard score:Score:Pt:^Patient:Qn:CSI
x0026-0;Mean score - emotional neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [emotional neglect];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CTQ
x0026-1;Mean score - physical neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [physical neglect];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CTQ
x0026-2;Mean score - sexual abuse;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [sexual abuse];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CTQ
x0026-3;Mean score - emotional neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [emotional neglect];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CTQ
x0026-4;Mean score - physical neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [physical neglect];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:CTQ
x0026-5;Total score - emotional neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [emotional neglect];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0026-6;Total score - physical neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [physical neglect];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0026-7;Total score - sexual abuse;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [sexual abuse];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0026-8;Total score - emotional neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [emotional neglect];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0026-9;Total score - physical neglect;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [physical neglect];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0130-1;Total score - Total score Mutter;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [total score Mutter];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0130-0;Total score - Total score Vater;Score;Pt;^Patient;Qn;CTQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [total score Vater];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CTQ
x0027-0;Total score - Cannabis;Score;Pt;^Patient;Qn;CUDIT;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Cannabis];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:CUDIT
x0028-0;Standard score - Aufmerksamkeit;Score;Pt;^Patient;Qn;d2;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Standard score [Aufmerksamkeit];{score};0;FALSCH;Standard score:Score:Pt:^Patient:Qn:d2
x0029-0;Total score - Substanzen (drug abuse);Score;Pt;^Patient;Qn;DAST;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Substanzen (drug abuse)];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:DAST
x0029-1;Total score - Substanzen (addiction);Score;Pt;^Patient;Qn;DAST;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Substanzen (addiction)];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:DAST
